student_id,name,age,gender,location,program,term,coding_score,math_score,enrollment_date,attendance_percent
S0001,Danielle,17,Male,Pune,Math Explorers,Q2-2024,54,48,2023-05-08,83.62
S0002,Judith,12,Male,Pune,Coding Advanced,Q2-2024,72,78,2023-10-26,88.64
S0003,Jeffrey,17,Other,Bengaluru,Coding Advanced,Q4-2024,77,57,2024-11-11,87.93
S0004,Curtis,14,Female,Mumbai,Coding Advanced,Q3-2024,46,45,2024-11-14,74.36
S0005,Patricia,14,Other,Delhi,Coding Basics,Q4-2024,74,47,2023-06-25,82.08
S0006,Brittany,18,Other,Hyderabad,Math Explorers,Q2-2024,85,44,2023-05-13,90.92
S0007,Anthony,12,Male,Pune,Science Club,Q3-2024,69,80,2023-10-05,74.81
S0008,Jesse,13,Other,Delhi,Coding Basics,Q2-2024,74,86,2024-07-29,78.49
S0009,Anthony,14,Other,Hyderabad,Coding Advanced,Q3-2024,93,89,2023-09-20,92.87
S0010,Jennifer,18,Female,Bengaluru,Math Explorers,Q1-2024,53,98,2024-10-14,86.22
S0011,Amy,15,Other,Bengaluru,Coding Advanced,Q3-2024,48,55,2023-10-07,95.91
S0012,Shane,15,Female,Mumbai,Coding Advanced,Q4-2024,45,88,2023-11-21,66.11
S0013,Lisa,13,Other,Bengaluru,Coding Basics,Q4-2024,64,78,2023-04-24,98.84
S0014,Katherine,18,Male,Pune,Math Explorers,Q3-2024,47,58,2023-08-21,78.15
S0015,Helen,17,Other,Delhi,Coding Advanced,Q1-2024,95,80,2024-01-08,66.11
S0016,Joshua,18,Male,Hyderabad,Coding Basics,Q3-2024,71,41,2023-10-03,95.15
S0017,Susan,18,Female,Mumbai,Coding Basics,Q2-2024,96,76,2024-01-05,89.28
S0018,Curtis,18,Male,Hyderabad,Coding Advanced,Q2-2024,82,70,2024-02-08,81.11
S0019,Colin,16,Female,Mumbai,Coding Advanced,Q3-2024,65,82,2025-02-05,95.98
S0020,Maurice,15,Male,Mumbai,Coding Advanced,Q1-2024,61,41,2023-11-10,60.29
S0021,Lindsay,17,Other,Pune,Coding Advanced,Q1-2024,97,42,2024-11-05,80.57
S0022,Stephen,14,Other,Bengaluru,Coding Advanced,Q2-2024,86,99,2023-07-24,91.38
S0023,Teresa,18,Female,Mumbai,Coding Basics,Q1-2024,82,67,2024-02-07,76.44
S0024,Christian,18,Other,Pune,Coding Basics,Q1-2024,65,86,2023-12-02,69.95
S0025,Maria,13,Other,Bengaluru,Coding Advanced,Q4-2024,51,57,2024-08-11,94.98
S0026,Nicole,12,Female,Hyderabad,Coding Basics,Q1-2024,81,74,2024-01-24,97.05
S0027,Barbara,18,Male,Mumbai,Science Club,Q4-2024,70,53,2024-10-17,66.59
S0028,Chad,12,Female,Delhi,Science Club,Q3-2024,67,84,2024-09-13,67.6
S0029,Jeremy,13,Male,Hyderabad,Coding Basics,Q3-2024,43,43,2023-11-29,62.28
S0030,Tracie,16,Male,Mumbai,Coding Basics,Q1-2024,83,95,2025-02-11,64.8
S0031,Jesse,16,Male,Hyderabad,Coding Basics,Q1-2024,66,82,2023-07-06,68.17
S0032,Norman,17,Female,Mumbai,Math Explorers,Q4-2024,48,82,2024-04-05,72.65
S0033,Cynthia,18,Male,Pune,Science Club,Q1-2024,44,74,2024-01-27,65.3
S0034,Francisco,14,Male,Mumbai,Math Explorers,Q3-2024,50,68,2024-01-19,86.71
S0035,Jason,16,Female,Pune,Coding Advanced,Q3-2024,47,96,2023-11-12,70.89
S0036,Jacqueline,16,Male,Delhi,Coding Advanced,Q3-2024,72,71,2024-09-30,63.69
S0037,Deborah,15,Female,Pune,Coding Basics,Q3-2024,89,48,2024-08-04,89.65
S0038,Cynthia,16,Other,Bengaluru,Coding Basics,Q1-2024,44,100,2024-06-06,93.38
S0039,Jessica,16,Other,Mumbai,Science Club,Q2-2024,42,59,2023-08-23,95.96
S0040,Steven,13,Other,Mumbai,Coding Basics,Q3-2024,89,75,2023-11-14,97.03
S0041,Veronica,13,Male,Mumbai,Science Club,Q1-2024,51,87,2024-08-28,92.09
S0042,Hailey,18,Other,Mumbai,Math Explorers,Q2-2024,90,84,2023-10-06,94.89
S0043,Gabrielle,18,Female,Mumbai,Coding Advanced,Q4-2024,62,59,2025-02-01,60.95
S0044,Kayla,13,Female,Delhi,Math Explorers,Q1-2024,89,57,2023-06-01,87.18
S0045,Jeremy,18,Other,Delhi,Coding Basics,Q1-2024,96,56,2023-05-13,61.53
S0046,Linda,16,Female,Delhi,Math Explorers,Q4-2024,78,72,2024-02-24,95.98
S0047,Joseph,13,Female,Pune,Science Club,Q1-2024,73,99,2023-09-29,77.25
S0048,Robin,17,Female,Hyderabad,Math Explorers,Q1-2024,86,97,2024-07-02,86.68
S0049,Nancy,14,Female,Delhi,Coding Advanced,Q2-2024,66,82,2023-12-19,84.62
S0050,Jason,14,Female,Hyderabad,Coding Basics,Q3-2024,58,53,2024-05-10,78.6
S0051,Randall,15,Other,Mumbai,Science Club,Q2-2024,82,45,2025-03-29,63.74
S0052,Dawn,18,Male,Delhi,Coding Advanced,Q2-2024,49,41,2023-08-07,99.36
S0053,Joseph,16,Male,Bengaluru,Science Club,Q2-2024,85,84,2023-10-27,75.99
S0054,Julie,13,Other,Pune,Coding Basics,Q4-2024,54,51,2024-06-10,82.3
S0055,Jose,18,Male,Bengaluru,Coding Advanced,Q4-2024,82,73,2024-07-16,84.51
S0056,Ross,17,Other,Bengaluru,Science Club,Q2-2024,87,95,2024-07-15,70.37
S0057,Reginald,13,Other,Delhi,Science Club,Q2-2024,57,68,2023-10-06,69.38
S0058,Wendy,14,Female,Hyderabad,Coding Basics,Q2-2024,49,54,2023-08-04,88.26
S0059,William,12,Female,Bengaluru,Math Explorers,Q4-2024,66,43,2023-06-28,75.58
S0060,Katelyn,18,Other,Pune,Science Club,Q4-2024,40,100,2025-02-15,90.14
S0061,Daniel,18,Female,Hyderabad,Coding Advanced,Q4-2024,54,57,2024-08-18,61.16
S0062,Ernest,14,Other,Bengaluru,Coding Advanced,Q4-2024,98,48,2024-09-28,83.68
S0063,Robert,17,Male,Pune,Science Club,Q2-2024,95,69,2023-06-07,70.41
S0064,Paul,14,Male,Bengaluru,Math Explorers,Q3-2024,88,96,2024-07-24,90.08
S0065,Wendy,18,Female,Delhi,Coding Basics,Q4-2024,41,87,2024-06-02,68.97
S0066,John,12,Other,Pune,Coding Basics,Q2-2024,52,93,2024-06-21,69.54
S0067,Michelle,15,Other,Pune,Coding Advanced,Q4-2024,84,56,2023-04-27,84.24
S0068,Erin,17,Other,Pune,Coding Advanced,Q3-2024,46,77,2023-07-16,83.03
S0069,Erin,15,Female,Mumbai,Coding Basics,Q2-2024,46,84,2024-06-09,91.85
S0070,Karen,16,Male,Delhi,Science Club,Q3-2024,44,72,2024-12-05,93.98
S0071,Danielle,18,Female,Pune,Science Club,Q3-2024,80,97,2023-07-14,77.42
S0072,Kelly,17,Other,Delhi,Science Club,Q4-2024,67,92,2023-08-19,94.07
S0073,Shawn,18,Male,Delhi,Science Club,Q2-2024,88,69,2024-10-30,61.15
S0074,Nancy,18,Female,Mumbai,Science Club,Q2-2024,62,91,2023-11-09,71.19
S0075,Teresa,16,Other,Delhi,Coding Basics,Q2-2024,45,55,2024-11-30,82.21
S0076,Guy,13,Other,Bengaluru,Science Club,Q4-2024,90,41,2025-03-27,68.86
