teacher_id,name,subject,date_joined,last_feedback_date,students_assigned,feedback_submitted,status,location
T0001,Joshua Pennington,English,2022-02-27,2025-04-12,35,No,Resigned,Hyderabad
T0002,William Lynch,Coding,2021-04-24,2025-03-27,15,No,Resigned,Pune
T0003,Adam Russell,Coding,2021-04-02,2025-03-25,36,Yes,On Leave,Hyderabad
T0004,Bruce Collier,English,2022-06-01,2025-04-03,12,Yes,On Leave,Mumbai
T0005,Denise Davenport,Science,2022-04-21,2025-03-31,12,Yes,Resigned,Bengaluru
T0006,Charles Lee,English,2022-11-05,2025-04-13,29,No,Resigned,Hyderabad
T0007,Breanna Jones,Coding,2023-08-01,2025-04-09,40,Yes,Resigned,Bengaluru
T0008,Richard Adams,English,2020-04-21,2025-04-02,10,Yes,Resigned,Hyderabad
T0009,Sara Carpenter,Science,2023-02-07,2025-04-12,16,Yes,Resigned,Hyderabad
T0010,Jill Washington,Math,2021-09-16,2025-04-15,29,Yes,Resigned,Pune
T0011,Jamie Cantu,Science,2023-12-29,2025-03-29,17,Yes,Active,Pune
T0012,Mrs. Janet Chase,Science,2022-01-16,2025-03-22,34,No,On Leave,Bengaluru
T0013,John Mcintyre,English,2021-12-01,2025-04-07,28,Yes,Resigned,Pune
T0014,Rebecca Pearson MD,Coding,2020-06-14,2025-03-26,39,Yes,Resigned,Delhi
T0015,Leslie Kane,Science,2024-01-06,2025-04-10,21,No,Active,Hyderabad
T0016,Thomas Smith,Math,2020-11-27,2025-04-08,24,No,Resigned,Pune
T0017,Tracy Jones,Science,2023-08-15,2025-04-01,15,No,Resigned,Pune
T0018,Michael Santos,Coding,2023-12-02,2025-04-04,26,No,On Leave,Pune
T0019,Shannon James,Science,2021-08-22,2025-04-12,38,No,Resigned,Bengaluru
T0020,Amanda Jones,English,2022-12-24,2025-04-02,28,No,Active,Delhi
T0021,Nicole Hamilton MD,English,2022-12-28,2025-03-24,31,No,Resigned,Pune
T0022,Michael Berger,English,2020-06-28,2025-04-04,13,No,Active,Bengaluru
T0023,Elaine Brooks,Math,2020-11-30,2025-03-31,31,Yes,On Leave,Bengaluru
T0024,Kylie Sparks,Science,2021-01-07,2025-03-28,26,Yes,Resigned,Delhi
T0025,Seth Harvey,Math,2021-04-27,2025-04-13,19,Yes,On Leave,Delhi
T0026,Briana Murray,Coding,2021-05-17,2025-04-11,27,Yes,On Leave,Delhi
T0027,Adam Ballard,Science,2024-02-16,2025-04-02,16,No,Active,Mumbai
T0028,Brooke Alexander,English,2021-10-06,2025-04-17,33,Yes,Active,Mumbai
T0029,Victor Vaughn,Science,2022-03-28,2025-04-03,16,Yes,Active,Mumbai
T0030,James Webb,Science,2021-04-21,2025-04-07,14,Yes,Active,Pune
T0031,Laura Haney,English,2021-07-20,2025-03-21,29,Yes,Resigned,Pune
T0032,Mary Hill,English,2022-09-14,2025-03-22,21,No,On Leave,Hyderabad
T0033,Natasha Wall,Science,2024-02-19,2025-04-02,25,Yes,Resigned,Delhi
T0034,Crystal Pham,English,2021-03-24,2025-03-29,17,Yes,Active,Hyderabad
T0035,Megan Le,English,2023-02-06,2025-03-26,25,Yes,Resigned,Delhi
T0036,Stephanie Lucas,English,2021-08-10,2025-04-10,37,Yes,On Leave,Pune
T0037,Jacob Anderson,English,2024-03-01,2025-04-03,20,Yes,Active,Mumbai
T0038,Jason Gonzalez,English,2023-08-22,2025-04-15,28,Yes,On Leave,Delhi
T0039,Holly Shaw,Science,2021-06-15,2025-03-27,15,No,Active,Delhi
T0040,Roger Olson,English,2023-09-22,2025-04-03,40,No,On Leave,Mumbai
T0041,Gina Wilson,English,2020-08-12,2025-03-26,23,Yes,On Leave,Delhi
T0042,Courtney Rhodes,Science,2023-03-01,2025-04-08,37,No,On Leave,Bengaluru
T0043,Regina Diaz,Math,2023-08-29,2025-04-08,28,Yes,Resigned,Mumbai
T0044,Joshua Gibson,Coding,2023-02-27,2025-04-01,33,No,Active,Hyderabad
T0045,Samantha Bentley,English,2020-10-03,2025-03-31,37,No,Active,Mumbai
T0046,Manuel Hahn,Math,2021-09-09,2025-04-18,25,Yes,Active,Bengaluru
T0047,Arthur Colon,English,2024-02-29,2025-04-03,14,No,On Leave,Delhi
T0048,Audrey Williams,Science,2020-06-14,2025-04-03,27,Yes,On Leave,Pune
